Image,Feature,Landmark,X Coordinate,Y Coordinate
FacialLandmarking/original_images\bj_novak.jpeg,jawline,Landmark 1,1510,1259
FacialLandmarking/original_images\bj_novak.jpeg,jawline,Landmark 2,1515,1394
FacialLandmarking/original_images\bj_novak.jpeg,jawline,Landmark 3,1534,1529
FacialLandmarking/original_images\bj_novak.jpeg,jawline,Landmark 4,1560,1664
FacialLandmarking/original_images\bj_novak.jpeg,jawline,Landmark 5,1597,1797
FacialLandmarking/original_images\bj_novak.jpeg,jawline,Landmark 6,1658,1929
FacialLandmarking/original_images\bj_novak.jpeg,jawline,Landmark 7,1741,2046
FacialLandmarking/original_images\bj_novak.jpeg,jawline,Landmark 8,1844,2148
FacialLandmarking/original_images\bj_novak.jpeg,jawline,Landmark 9,1981,2182
FacialLandmarking/original_images\bj_novak.jpeg,jawline,Landmark 10,2123,2160
FacialLandmarking/original_images\bj_novak.jpeg,jawline,Landmark 11,2254,2072
FacialLandmarking/original_images\bj_novak.jpeg,jawline,Landmark 12,2373,1965
FacialLandmarking/original_images\bj_novak.jpeg,jawline,Landmark 13,2466,1846
FacialLandmarking/original_images\bj_novak.jpeg,jawline,Landmark 14,2524,1708
FacialLandmarking/original_images\bj_novak.jpeg,jawline,Landmark 15,2552,1562
FacialLandmarking/original_images\bj_novak.jpeg,jawline,Landmark 16,2569,1418
FacialLandmarking/original_images\bj_novak.jpeg,jawline,Landmark 17,2572,1273
FacialLandmarking/original_images\bj_novak.jpeg,eyebrows,Landmark 1,1554,1147
FacialLandmarking/original_images\bj_novak.jpeg,eyebrows,Landmark 2,1587,1044
FacialLandmarking/original_images\bj_novak.jpeg,eyebrows,Landmark 3,1685,998
FacialLandmarking/original_images\bj_novak.jpeg,eyebrows,Landmark 4,1787,1005
FacialLandmarking/original_images\bj_novak.jpeg,eyebrows,Landmark 5,1890,1045
FacialLandmarking/original_images\bj_novak.jpeg,eyebrows,Landmark 6,2058,1040
FacialLandmarking/original_images\bj_novak.jpeg,eyebrows,Landmark 7,2172,1001
FacialLandmarking/original_images\bj_novak.jpeg,eyebrows,Landmark 8,2287,993
FacialLandmarking/original_images\bj_novak.jpeg,eyebrows,Landmark 9,2398,1038
FacialLandmarking/original_images\bj_novak.jpeg,eyebrows,Landmark 10,2457,1143
FacialLandmarking/original_images\bj_novak.jpeg,nose,Landmark 1,1965,1142
FacialLandmarking/original_images\bj_novak.jpeg,nose,Landmark 2,1959,1238
FacialLandmarking/original_images\bj_novak.jpeg,nose,Landmark 3,1955,1333
FacialLandmarking/original_images\bj_novak.jpeg,nose,Landmark 4,1951,1434
FacialLandmarking/original_images\bj_novak.jpeg,nose,Landmark 5,1869,1512
FacialLandmarking/original_images\bj_novak.jpeg,nose,Landmark 6,1914,1531
FacialLandmarking/original_images\bj_novak.jpeg,nose,Landmark 7,1964,1546
FacialLandmarking/original_images\bj_novak.jpeg,nose,Landmark 8,2018,1526
FacialLandmarking/original_images\bj_novak.jpeg,nose,Landmark 9,2071,1510
FacialLandmarking/original_images\bj_novak.jpeg,eyes,Landmark 1,1661,1193
FacialLandmarking/original_images\bj_novak.jpeg,eyes,Landmark 2,1710,1147
FacialLandmarking/original_images\bj_novak.jpeg,eyes,Landmark 3,1779,1142
FacialLandmarking/original_images\bj_novak.jpeg,eyes,Landmark 4,1846,1186
