Sub_folder_Name, Race, Sex
aamir_khan A M
adam_driver C M
adam_sandler C M
adele C F
aishwarya_rai A F
ajit_pai A M
alec_baldwin C M
alexandria_ocasio-cortez H F
alfred_hitchcock C M
amy_poehler C F
anderson_cooper C M
andy_samberg C M
angela_merkel C F
angelina_jolie C F
anne_hathaway C F
anthony_davis B M
ariana_grande H F
aubrey_plaza H F
ava_gardner C F
awkwafina A F
aziz_ansari A M
barack_obama B M
ben_affleck C M
benedict_cumberbatch C M
benicio_del_toro H M
bernie_sanders C M
betty_white C F
beyonce B F
bill_clinton C M
billie_eilish C F
bob_marley B M
brad_pitt C M
britney_spears C F
bruce_lee A M
bruno_mars H M
cameron_diaz C F
carrie_fisher C F
che_guevara H M
cher C F
chow_yun A M
chris_hemsworth C M
chris_pratt C M
chris_rock B M
chris_tucker B M
christina_aguilera C F
chuck_norris C M
condoleezza_rice B F
conor_mcgregor C M
cristiano_ronaldo H M
cuba_gooding_jr B M
daisy_ridley C F
dalai_lama A M
danny_trejo H M
dave_chappelle B M
david_hasselhoff C M
david_tennant C M
deng_xiaoping A M
denzel_washington B M
diego_maradona H M
dr._phil C M
duterte A M
dwayne_johnson A M
eddie_murphy B M
elizabeth_warren C F
ellen_degeneres C F
ellen_page C F
emilia_clarke C F
eminem C M
emma_watson C F
eva_mendes H F
fergie H F
fidel_castro H M
gal_gadot C F
gandhi A M
george_clooney C M
george_lopez H M
george_rr_martin C M
george_takei A M
george_w._bush C M
halle_berry B F
harrison_ford C M
helena_bonham_carter C F
hillary_clinton C F
hulk_hogan C M
ice_cube B M
jackie_chan A M
james_dean C M
janet_jackson B F
jason_momoa A M
jay_z B M
jennifer_aniston C F
jennifer_garner C F
jennifer_lopez H F
jessica_alba H F
jim_parsons C M
jimi_hendrix B M
john_f._kennedy C M
john_goodman C M
john_krasinski C M
john_mcenroe C M
john_wayne C M
johnny_depp C M
johnny_galecki C M
julia_roberts C F
julian_assange C M
julianne_moore C F
justin_timberlake C M
justin_trudeau C M
kaley_cuoco C F
kanye_west B M
katy_perry C F
keanu_reeves C M
keira_knightley C F
kim_jong_un A M
kirsten_dunst C F
kit_harington C M
kobe_bryant B M
kristen_bell C F
kristen_stewart C F
lady_gaga C F
lebron_james B M
lena_headey C F
leonardo_dicaprio C M
leslie_nielsen C M
lionel_messi H M
lucy_liu A F
luis_suarez H M
madonna C F
maisie_williams C F
mao A M
marc_anthony H M
mariah_carey H F
marilyn_monroe C F
mark_hamill C M
mark_zuckerberg C M
matt_damon C M
matt_smith C M
megan_fox C F
meghan_markle B F
melania_trump C F
melissa_mccarthy C F
meryl_streep C F
michael_bloomberg C M
michael_jackson B M
michelle_obama B F
michelle_rodriguez H F
mike_pence C M
mila_kunis C F
miley_cyrus C F
mitch_mcconnell C F
morgan_freeman B M
nancy_pelosi C F
narendra_modi A M
natalie_dormer C F
neil_patrick_harris C F
neymar B M
nick_offerman C M
nicki_minaj B F
nicole_kidman C F
norah_jones A F
oprah B F
ozzy_osbourne C M
paris_hilton C F
pat_morita A M
patrick_stewart C M
pele B M
penelope_cruz H F
peter_dinklage C M
prince B M
prince_charles C M
priyanka_chopra A F
psy A M
queen_latifah B F
rainn_wilson C M
rashida_jones B F
renee_zellweger C F
richard_nixon C M
rihanna B F
robert_downey_jr. C M
ronald_reagan C M
rosario_dawson H F
ru_paul B F
ryan_reynolds C M
salma_hayek H F
salman_rushdie A M
samuel_l_jackson B M
sandra_bullock C F
sandra_oh A F
sarah_jessica_parker C F
sarah_palin C F
scarlett_johansson C F
seann_william_scott C M
selena H F
selena_gomez H F
shahrukh_khan A M
shakira H F
sharon_osbourne C F
shigeru_miyamoto A M
snoop_dogg B M
sofia_vergara H F
sophie_turner C F
stan_lee C M
steve_buscemi C M
steve_carell C M
steven_tyler C M
steven_yeun A M
taylor_swift C F
ted_cruz C M
terry_crews B M
tilda_swinton C F
tina_fey C F
tina_turner B F
tom_cruise C M
tom_hiddleston C M
tom_holland C M
tracy_morgan B M
vin_diesel C M
vladimir_putin C M
wesley_snipes B M
whitney_houston B F
whoopi_goldberg B F
will_smith B M
willem_dafoe C M
william_shatner C M
woody_allen C M
xi_jinping A M
yao_ming A M
yo-yo_ma A M
zoe_saldana H F
